mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
0,3.6000000000000023,3,10000,0.7879,0.8652,0.8771,0.8779
0,3.6000000000000023,4,10000,0.8753,0.9363,0.9409,0.9414
0,3.6000000000000023,6,10000,0.9507,0.9843,0.986,0.9861
0,3.7000000000000024,1,10000,0.4192,0.5275,0.5366,0.5371
0,3.7000000000000024,2,10000,0.6579,0.7486,0.7619,0.7628
0,3.7000000000000024,3,10000,0.7995,0.8752,0.8889,0.8896
0,3.7000000000000024,4,10000,0.8837,0.9414,0.9461,0.9466
0,3.7000000000000024,6,10000,0.9618,0.9891,0.9898,0.9899
0,3.8000000000000025,1,10000,0.4327,0.5387,0.5477,0.5481
0,3.8000000000000025,2,10000,0.6787,0.7651,0.7772,0.7777
0,3.8000000000000025,3,10000,0.8163,0.8877,0.8995,0.8999
0,3.8000000000000025,4,10000,0.8941,0.9487,0.9527,0.9534
0,3.8000000000000025,6,10000,0.9643,0.9901,0.9916,0.9917
0,3.9000000000000026,1,10000,0.4509,0.5574,0.5674,0.5677
0,3.9000000000000026,2,10000,0.6898,0.7726,0.7868,0.7878
0,3.9000000000000026,3,10000,0.8233,0.8869,0.8977,0.8984
0,3.9000000000000026,4,10000,0.9011,0.9485,0.9517,0.9524
0,3.9000000000000026,6,10000,0.9675,0.9905,0.9916,0.9918
0,4.000000000000003,1,10000,0.4505,0.5519,0.5603,0.5607
0,4.000000000000003,2,10000,0.7021,0.7769,0.7882,0.7891
0,4.000000000000003,3,10000,0.8305,0.8933,0.9035,0.904
0,4.000000000000003,4,10000,0.9081,0.9516,0.9547,0.9551
0,4.000000000000003,6,10000,0.9749,0.9922,0.993,0.993
0,4.100000000000003,1,10000,0.468,0.5679,0.5763,0.5767
0,4.100000000000003,2,10000,0.714,0.7918,0.8027,0.803
0,4.100000000000003,3,10000,0.8448,0.9035,0.9145,0.9148
0,4.100000000000003,4,10000,0.9131,0.9556,0.9593,0.9595
0,4.100000000000003,6,10000,0.9744,0.9937,0.9942,0.9943
0,4.200000000000003,1,10000,0.4855,0.5852,0.5947,0.595
0,4.200000000000003,2,10000,0.7273,0.7988,0.8111,0.8113
0,4.200000000000003,3,10000,0.8576,0.9104,0.9206,0.9209
0,4.200000000000003,4,10000,0.9264,0.9621,0.9656,0.9662
0,4.200000000000003,6,10000,0.979,0.9951,0.9955,0.9957
0,4.3000000000000025,1,10000,0.477,0.5756,0.5849,0.5851
0,4.3000000000000025,2,10000,0.7293,0.7995,0.811,0.8114
0,4.3000000000000025,3,10000,0.8646,0.9151,0.9234,0.9239
0,4.3000000000000025,4,10000,0.9302,0.9631,0.965,0.9655
0,4.3000000000000025,6,10000,0.98,0.9942,0.9946,0.9947
0,4.400000000000003,1,10000,0.502,0.5954,0.6032,0.6034
0,4.400000000000003,2,10000,0.7469,0.8146,0.8236,0.8241
0,4.400000000000003,3,10000,0.8735,0.9204,0.9285,0.9289
0,4.400000000000003,4,10000,0.9358,0.9675,0.9696,0.9697
0,4.400000000000003,6,10000,0.9847,0.996,0.9965,0.9965
0,4.5000000000000036,1,10000,0.5033,0.5988,0.6085,0.6088
0,4.5000000000000036,2,10000,0.7579,0.8255,0.8369,0.8375
0,4.5000000000000036,3,10000,0.8811,0.9273,0.9354,0.9357
0,4.5000000000000036,4,10000,0.9434,0.9714,0.9737,0.974
0,4.5000000000000036,6,10000,0.9867,0.9962,0.9968,0.9969
0,4.600000000000003,1,10000,0.512,0.6015,0.6107,0.6108
0,4.600000000000003,2,10000,0.7675,0.8286,0.8377,0.8383
0,4.600000000000003,3,10000,0.8846,0.9274,0.9363,0.9365
0,4.600000000000003,4,10000,0.941,0.9707,0.9727,0.973
0,4.600000000000003,6,10000,0.9859,0.9963,0.9969,0.9969
0,4.700000000000003,1,10000,0.5227,0.6116,0.6209,0.6211
0,4.700000000000003,2,10000,0.7713,0.8362,0.8467,0.8472
0,4.700000000000003,3,10000,0.8871,0.9298,0.9381,0.9386
0,4.700000000000003,4,10000,0.9454,0.9733,0.9759,0.9763
0,4.700000000000003,6,10000,0.9884,0.9964,0.9967,0.9968
0,4.800000000000003,1,10000,0.5337,0.6235,0.6317,0.6319
0,4.800000000000003,2,10000,0.7851,0.8409,0.8503,0.8506
0,4.800000000000003,3,10000,0.8998,0.9349,0.9434,0.9438
0,4.800000000000003,4,10000,0.9534,0.9774,0.979,0.9791
0,4.800000000000003,6,10000,0.9893,0.9969,0.9972,0.9972
0,4.900000000000004,1,10000,0.5465,0.637,0.6441,0.6446
0,4.900000000000004,2,10000,0.7899,0.8452,0.855,0.8554
0,4.900000000000004,3,10000,0.9032,0.9356,0.9423,0.9427
0,4.900000000000004,4,10000,0.9558,0.9782,0.9802,0.9805
0,4.900000000000004,6,10000,0.9902,0.9972,0.9974,0.9974
0,5.0000000000000036,1,10000,0.5445,0.6313,0.6398,0.6398
0,5.0000000000000036,2,10000,0.7962,0.8503,0.8599,0.8601
0,5.0000000000000036,3,10000,0.9095,0.9415,0.9486,0.9486
0,5.0000000000000036,4,10000,0.9606,0.9798,0.9812,0.9812
0,5.0000000000000036,6,10000,0.9919,0.9979,0.9982,0.9982
0,5.100000000000003,1,10000,0.5582,0.6406,0.6482,0.6483
0,5.100000000000003,2,10000,0.8022,0.8539,0.8622,0.8624
0,5.100000000000003,3,10000,0.9141,0.947,0.9543,0.9545
0,5.100000000000003,4,10000,0.9613,0.9818,0.9829,0.983
0,5.100000000000003,6,10000,0.9907,0.9974,0.9979,0.9979
0,5.200000000000004,1,10000,0.5632,0.6452,0.6545,0.6551
0,5.200000000000004,2,10000,0.8076,0.86,0.869,0.8691
0,5.200000000000004,3,10000,0.9145,0.9453,0.9508,0.951
0,5.200000000000004,4,10000,0.9639,0.9821,0.9834,0.9836
0,5.200000000000004,6,10000,0.9933,0.9991,0.9993,0.9993
0,5.300000000000004,1,10000,0.5731,0.6561,0.6631,0.6635
0,5.300000000000004,2,10000,0.815,0.8644,0.8711,0.8712
0,5.300000000000004,3,10000,0.9209,0.9525,0.9588,0.9589
0,5.300000000000004,4,10000,0.9663,0.9836,0.9849,0.985
0,5.300000000000004,6,10000,0.994,0.9986,0.9987,0.9987
0,5.400000000000004,1,10000,0.5792,0.6576,0.6654,0.666
0,5.400000000000004,2,10000,0.82,0.8669,0.875,0.8754
0,5.400000000000004,3,10000,0.9238,0.9525,0.9597,0.9601
0,5.400000000000004,4,10000,0.9666,0.9822,0.9839,0.9841
0,5.400000000000004,6,10000,0.994,0.9981,0.9982,0.9982
0,5.5000000000000036,1,10000,0.5669,0.6525,0.6597,0.66
0,5.5000000000000036,2,10000,0.8203,0.8687,0.8777,0.8779
0,5.5000000000000036,3,10000,0.9262,0.9541,0.9606,0.9607
0,5.5000000000000036,4,10000,0.9699,0.9853,0.9871,0.9872
0,5.5000000000000036,6,10000,0.995,0.9989,0.999,0.999
0,5.600000000000004,1,10000,0.5959,0.6745,0.6829,0.6831
0,5.600000000000004,2,10000,0.8371,0.8832,0.8909,0.8915
0,5.600000000000004,3,10000,0.9327,0.9593,0.9655,0.9657
0,5.600000000000004,4,10000,0.9728,0.9879,0.9884,0.9885
0,5.600000000000004,6,10000,0.9951,0.999,0.9993,0.9993
0,5.700000000000005,1,10000,0.5919,0.6723,0.6798,0.6804
0,5.700000000000005,2,10000,0.8326,0.879,0.8873,0.8878
0,5.700000000000005,3,10000,0.9337,0.9608,0.9658,0.9661
0,5.700000000000005,4,10000,0.9742,0.9873,0.9883,0.9884
0,5.700000000000005,6,10000,0.9955,0.9989,0.9991,0.9991
0,5.800000000000004,1,10000,0.6054,0.6772,0.6848,0.6851
0,5.800000000000004,2,10000,0.8406,0.8839,0.8918,0.8921
0,5.800000000000004,3,10000,0.9373,0.9615,0.9674,0.9675
0,5.800000000000004,4,10000,0.9766,0.9896,0.9901,0.9903
0,5.800000000000004,6,10000,0.9968,0.9994,0.9994,0.9994
0,5.900000000000004,1,10000,0.6135,0.6817,0.6882,0.6884
0,5.900000000000004,2,10000,0.8447,0.8847,0.8923,0.8923
0,5.900000000000004,3,10000,0.938,0.9621,0.9681,0.9681
0,5.900000000000004,4,10000,0.9759,0.987,0.9878,0.9878
0,5.900000000000004,6,10000,0.9963,0.9989,0.9992,0.9992
0,6.000000000000004,1,10000,0.618,0.6906,0.6977,0.698
0,6.000000000000004,2,10000,0.8526,0.8902,0.8977,0.898
0,6.000000000000004,3,10000,0.945,0.965,0.9697,0.9702
0,6.000000000000004,4,10000,0.9778,0.9888,0.9895,0.9898
