mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
2.4000000000000004,1,3,10000,0.6214,0.8411,0.9122,0.9311
2.4000000000000004,1,4,10000,0.7254,0.9283,0.9609,0.9753
2.4000000000000004,1,6,10000,0.8535,0.9875,0.9988,0.9991
2.5,1,1,10000,0.307,0.458,0.5578,0.5984
2.5,1,2,10000,0.5159,0.7034,0.818,0.8536
2.5,1,3,10000,0.6612,0.8627,0.9271,0.9441
2.5,1,4,10000,0.7687,0.9438,0.9706,0.9801
2.5,1,6,10000,0.8888,0.9925,0.9993,0.9998
2.6,1,1,10000,0.3515,0.5157,0.6078,0.6458
2.6,1,2,10000,0.58,0.7532,0.8465,0.8759
2.6,1,3,10000,0.7284,0.9008,0.9473,0.9599
2.6,1,4,10000,0.8249,0.9678,0.9846,0.9896
2.6,1,6,10000,0.9256,0.9958,0.9999,0.9999
2.7,1,1,10000,0.3848,0.5525,0.6421,0.6789
2.7,1,2,10000,0.6154,0.7882,0.8747,0.897
2.7,1,3,10000,0.763,0.9267,0.9605,0.9683
2.7,1,4,10000,0.8533,0.977,0.9888,0.9924
2.7,1,6,10000,0.9451,0.9973,0.9998,1.0
2.8000000000000003,1,1,10000,0.4248,0.5926,0.6707,0.7042
2.8000000000000003,1,2,10000,0.6749,0.831,0.9007,0.9215
2.8000000000000003,1,3,10000,0.8095,0.9459,0.972,0.9788
2.8000000000000003,1,4,10000,0.8894,0.9837,0.9944,0.9959
2.8000000000000003,1,6,10000,0.965,0.9991,1.0,1.0
2.9000000000000004,1,1,10000,0.4683,0.6283,0.707,0.7373
2.9000000000000004,1,2,10000,0.7136,0.8572,0.9197,0.9342
2.9000000000000004,1,3,10000,0.8475,0.9604,0.9798,0.9845
2.9000000000000004,1,4,10000,0.9175,0.9906,0.9961,0.997
2.9000000000000004,1,6,10000,0.975,0.9996,1.0,1.0
3.0,1,1,10000,0.4918,0.651,0.724,0.7496
3.0,1,2,10000,0.7424,0.8774,0.9301,0.9449
3.0,1,3,10000,0.8695,0.9663,0.9824,0.9864
3.0,1,4,10000,0.932,0.9923,0.9971,0.9979
3.0,1,6,10000,0.9816,0.9998,1.0,1.0
3.1,1,1,10000,0.5377,0.6948,0.762,0.7853
3.1,1,2,10000,0.7963,0.9102,0.9515,0.9602
3.1,1,3,10000,0.9055,0.9828,0.9913,0.993
3.1,1,4,10000,0.9556,0.997,0.9988,0.9992
3.1,1,6,10000,0.9896,1.0,1.0,1.0
3.2,1,1,10000,0.5687,0.7191,0.7778,0.799
3.2,1,2,10000,0.8131,0.9186,0.9533,0.9628
3.2,1,3,10000,0.9239,0.9878,0.9938,0.995
3.2,1,4,10000,0.9661,0.998,0.9995,0.9997
3.2,1,6,10000,0.9957,1.0,1.0,1.0
